Latitude,Longitude,Postcode,Region Type,Sector,Suburb,Type,﻿Name
-33.71544142,151.1053778,2076,Major Cities,Non-Gov,Wahroonga,Secondary,Broken Bay Cross Campus Course Centre
-36.7235,144.257,3556,Inner Regional,Non-Gov,Eaglehawk,Primary,St Liborius' School
-38.0181,145.102,3195,Major Cities,Non-Gov,Aspendale,Primary,St Louis de Montfort's School
-33.7172,151.12,2076,Major Cities,Non-Gov,Wahroonga,Special,St Lucy's School
-33.73878535,151.1369972,2073,Major Cities,Non-Gov,Pymble,Special,"St Lucys, Sacred Heart Catholic Primary Campus"
-33.87721007,151.0939374,2135,Major Cities,Non-Gov,Strathfield,Special,"St Lucys, Santa Sabina College Campus"
-33.75076563,151.2740437,2099,Major Cities,Non-Gov,Narraweena,Special,"St Lucy's, St John's Narraweena campus"
-33.7129,151.3,2101,Major Cities,Non-Gov,Narrabeen,Special,"St Lucy's, St Joseph's Narrabeen campus"
-37.8356,145.147,3130,Major Cities,Non-Gov,Blackburn South,Primary,St Luke the Evangelist School
-24.8538,152.388,4670,Inner Regional,Non-Gov,Kalkie,Combined,St Luke's Anglican School
-33.69901594,150.8193596,2765,Major Cities,Non-Gov,Marsden Park,Special,St Luke's Arrunga
-33.6983,150.8189409,2765,Major Cities,Non-Gov,Marsden Park,Primary,St Lukes Catholic College (Primary)
-33.6977654,150.8189016,2765,Major Cities,Non-Gov,Marsden Park,Secondary,St Luke's Catholic College (Secondary)
-27.549,153.197,4157,Major Cities,Non-Gov,Capalaba,Primary,St Luke's Catholic Parish School
"-31.8024, -36.3257, -33.9457","115.805, 145.411, 151.017","6026, 3631, 2212","Major Cities, Inner Regional, Major Cities",Non-Gov,"Woodvale, Shepparton North, Revesby",Primary,St Luke's Catholic Primary School
-20.7501,116.817,6714,Remote,Non-Gov,Karratha,Secondary,St Luke's College
-33.7598,151.284,2099,Major Cities,Non-Gov,Dee Why,Combined,St Luke's Grammar School
-33.6575,151.295,2104,Major Cities,Non-Gov,Bayview,Primary,"St Luke's Grammar School, Bayview Campus"
"-37.8534, -37.6724","145.235, 145.019","3152, 3075",Major Cities,Non-Gov,"Wantirna, Lalor",Primary,St Luke's School
-38.2232,145.07,3931,Major Cities,Non-Gov,Mornington,Primary,St Macartan's School
-33.6808,151.001,2156,Major Cities,Non-Gov,Kenthurst,Primary,St Madeleine's Primary School
-37.034,141.3,3318,Outer Regional,Non-Gov,Edenhope,Primary,St Malachy's School
-33.9053,151.245,2031,Major Cities,Non-Gov,Randwick North,Primary,St Margaret Mary's Catholic Primary School
-19.2774,146.799,4812,Outer Regional,Non-Gov,Hyde Park,Secondary,St Margaret Mary's College
-33.8363,150.982,2160,Major Cities,Non-Gov,Merrylands,Primary,St Margaret Mary's Primary School
"-34.8829, -37.7586, -37.8291","138.562, 144.968, 144.878","5008, 3056, 3015",Major Cities,Non-Gov,"Croydon Park, Brunswick North, Spotswood",Primary,St Margaret Mary's School
-38.0353,145.347,3806,Major Cities,Non-Gov,Berwick,Combined,St Margaret’s Berwick Grammar
-38.052,145.412,3809,Major Cities,Non-Gov,Officer,Combined,St Margaret’s Berwick Grammar - Berwick Grammar School
-27.4306,153.05,4007,Major Cities,Non-Gov,Ascot,Combined,St Margaret's Anglican Girls School
-37.7669,144.891,3032,Major Cities,Non-Gov,Maribyrnong,Primary,St Margaret's Primary School
-38.1646,144.374,3219,Major Cities,Non-Gov,East Geelong,Primary,St Margaret's School
-28.4136,151.081,4387,Outer Regional,Non-Gov,Inglewood,Primary,St Maria Goretti School
-31.9389,115.944,6104,Major Cities,Non-Gov,Redcliffe,Primary,St Maria Goretti's Catholic School
-31.7991,115.741,6025,Major Cities,Non-Gov,Hillarys,Combined,St Mark's Anglican Community School
-33.8556,151.154,2047,Major Cities,Non-Gov,Drummoyne,Primary,St Mark's Catholic Primary School
-33.2061,138.005,5540,Outer Regional,Non-Gov,Port Pirie,Combined,St Mark's College - Bosco Campus
-33.1863,138.011,5540,Outer Regional,Non-Gov,Port Pirie,Combined,St Mark's College - Benedict Campus
-33.9557,150.944,2173,Major Cities,Non-Gov,Wattle Grove,Combined,St Mark's Coptic Orthodox College
-35.0728,138.861,5251,Major Cities,Non-Gov,Mount Barker,Primary,St Mark's Lutheran School
"-27.5939, -37.7163, -37.9867","152.969, 144.964, 145.13","4077, 3060, 3172",Major Cities,Non-Gov,"Inala, Fawkner, Dingley Village",Primary,St Mark's School
-33.9082,151.144,2204,Major Cities,Non-Gov,Marrickville,Combined,St Maroun's College
-33.8738,151.087,2135,Major Cities,Non-Gov,Strathfield,Primary,St Martha's Catholic Primary School
"-37.8538, -37.7585, -35.0737, -17.95737553","144.777, 144.862, 138.527, 122.2186326","3028, 3034, 5158, 6725","Major Cities, Remote",Non-Gov,"Laverton, Avondale Heights, Sheidow Park, Broome","Primary, Special",St Martin de Porres School
-37.7352,145.077,3084,Major Cities,Non-Gov,Rosanna,Primary,St Martin of Tours School
"-34.8671, -33.7419","138.629, 151.199","5086, 2085",Major Cities,Non-Gov,"Greenacres, Davidson",Primary,St Martin's Catholic Primary School
-37.820967,140.797573,5290,Outer Regional,Non-Gov,Mount Gambier,Combined,St Martins Lutheran College
-27.4915,153.09,4152,Major Cities,Non-Gov,Carina,Primary,St Martin's School
-33.9473,151.252,2035,Major Cities,Non-Gov,Maroubra,Primary,St Mary - St Joseph Catholic Primary School
-33.9461,151.127,2207,Major Cities,Non-Gov,Bexley,Primary,St Mary and St Mina's Coptic Orthodox College
-33.9545,151.135,2216,Major Cities,Non-Gov,Rockdale,Secondary,"St Mary and St Mina's Coptic Orthodox College, Rockdale campus"
-38.0472,144.17,3333,Inner Regional,Non-Gov,Bannockburn,Primary,St Mary MacKillop Catholic Primary School
"-35.3419, -35.4249, -33.6635","143.557, 149.093, 115.33","3585, 2905, 6280","Outer Regional, Major Cities, Inner Regional",Non-Gov,"Swan Hill, Isabella Plains, Busselton","Secondary, Combined",St Mary MacKillop College
-35.3414,143.558,3585,Outer Regional,Non-Gov,Swan Hill,Secondary,St Mary MacKillop College - The Technology Centre
-35.4053,149.091,2905,Major Cities,Non-Gov,Wanniassa,Secondary,St Mary MacKillop College - Wanniassa Campus
"-33.7789, -37.7146, -27.4974","150.707, 144.804, 153.229","2750, 3038, 4159",Major Cities,Non-Gov,"South Penrith, Keilor Downs, Birkdale",Primary,St Mary MacKillop Primary School
-33.9317,137.632,5556,Outer Regional,Non-Gov,Wallaroo,Combined,St Mary MacKillop School
-34.734,138.666,5112,Major Cities,Non-Gov,Elizabeth Grove,Primary,St Mary Magdalene's School
-36.0577,145.209,3638,Inner Regional,Non-Gov,Nathalia,Secondary,St Mary of the Angels College
-30.2256,151.672,2365,Inner Regional,Non-Gov,Guyra,Primary,St Mary of the Angels Primary School
-37.9093,144.765,3030,Major Cities,Non-Gov,Point Cook,Primary,St Mary of the Cross Catholic Primary School
-37.626,145.013,3076,Major Cities,Non-Gov,Epping,Primary,St Mary of the Cross MacKillop Catholic Parish Primary School
-27.4318,153.032,4030,Major Cities,Non-Gov,Windsor,Primary,St Mary of the Cross School
"-24.8857, -34.4252","113.658, 150.902","6701, 2500","Very Remote, Major Cities",Non-Gov,"Carnarvon, Wollongong","Combined, Secondary",St Mary Star of the Sea College
-24.88429,113.65911,6701,Very Remote,Non-Gov,Carnarvon,Secondary,St Mary Star of the Sea School - Secondary Campus
-37.8594,144.997,3183,Major Cities,Non-Gov,St Kilda East,Secondary,St Mary’s College Melbourne - Edmund Rice Campus
-37.8573105,144.9953065,3181,Major Cities,Non-Gov,St Kilda,Secondary,St Mary’s College Melbourne - Presentation Campus
-31.876,115.767,6018,Major Cities,Non-Gov,Karrinyup,Combined,St Mary's Anglican Girls' School
-33.8713,151.214,2000,Major Cities,Non-Gov,Sydney,Combined,St Mary's Cathedral College
"-32.9806, -28.8611, -16.971, -26.5346","151.693, 153.045, 145.742, 151.842","2290, 2470, 4868, 4610","Major Cities, Inner Regional, Outer Regional, Inner Regional",Non-Gov,"Gateshead, Casino, Woree, Kingaroy","Secondary, Combined",St Mary's Catholic College
"-33.3418, -24.8934, -23.3649, -21.1538, -32.2423, -33.2846, -33.795, -33.2686, -33.9002, -33.9106, -33.8679, -12.4594","115.645, 152.37, 150.528, 149.184, 148.631, 149.117, 151.286, 151.559, 151.188, 150.982, 151.103, 130.839","6230, 4670, 4701, 4740, 2830, 2800, 2095, 2263, 2043, 2198, 2137, 0800","Inner Regional, Major Cities, Major Cities, Major Cities, Major Cities, Major Cities, Outer Regional",Non-Gov,"Bunbury, Bundaberg, North Rockhampton, Mackay South, Dubbo, Orange, Manly, Noraville, Erskineville, Georges Hall, Concord, Darwin",Primary,St Mary's Catholic Primary School
"-32.55004204, -33.8381, -20.0117","148.943, 116.386, 148.242","2820, 6244, 4805",Outer Regional,Non-Gov,"Wellington, Boyup Brook, Bowen","Combined, Primary, Primary",St Mary's Catholic School
"-25.543, -27.5605, -27.6097, -17.9611, -34.9281, -37.0199, -30.9799, -42.8812","152.697, 151.943, 152.755, 122.222, 138.589, 145.141, 150.26, 147.319","4650, 4350, 4305, 6725, 5000, 3660, 2380, 7000","Inner Regional, Major Cities, Remote, Major Cities, Inner Regional, Outer Regional, Inner Regional",Non-Gov,"Maryborough, Toowoomba, Ipswich, Broome, Adelaide, Seymour, Gunnedah, Hobart","Secondary, Combined, Secondary, Secondary, Combined, Combined, Secondary, Combined",St Mary's College
-17.9589,122.221,6725,Remote,Non-Gov,Broome,Primary,St Mary's College - Primary Campus
-37.8779,145.243,3152,Major Cities,Non-Gov,Wantirna South,Special,St Mary's College for the Deaf - Wantirna South Campus
-37.9897,145.228,3175,Major Cities,Non-Gov,Dandenong,Special,St Mary’s College for the Deaf – Dandenong Campus
-37.823,145.235,3134,Major Cities,Non-Gov,Ringwood,Special,St Mary’s College for the Deaf – Ringwood Campus
-37.6439,145.091,3752,Major Cities,Non-Gov,South Morang,Special,St Mary’s College for the Deaf – South Morang Campus
-37.5723,144.739,3429,Major Cities,Non-Gov,Sunbury,Special,St Mary’s College for the Deaf – Sunbury Campus
-37.84734769,144.7004186,3029,Major Cities,Non-Gov,Tarneit,Special,St Mary's College for the Deaf - Tarneit Campus
-37.6558,144.931,3048,Major Cities,Non-Gov,Coolaroo,Combined,St Mary's Coptic Orthodox College
-41.5848,148.189,7215,Outer Regional,Gov,St Marys,Combined,St Marys District School
-33.7606,150.776,2760,Major Cities,Non-Gov,St Marys,Special,St Mary's Flexible School
-34.9813,138.515,5045,Major Cities,Non-Gov,Glenelg,Primary,St Mary's Memorial School
-33.7562,150.783,2760,Major Cities,Gov,North St Marys,Primary,St Marys North Public School
"-34.5089, -31.6988","144.84, 147.837","2711, 2824",Outer Regional,Non-Gov,"Hay, Warren",Primary,St Mary's Parish School
"-35.9965, -34.3006, -30.5163, -29.67323434, -28.862, -30.4557, -30.6508, -32.9759, -32.053, -33.8119, -35.91, -34.4631, -34.3084, -35.5213, -30.7437, -38.1107, -25.5336, -27.6119627","146.388, 146.083, 151.664, 152.935, 153.045, 152.898, 152.851, 151.649, 150.872, 151.041, 150.08, 149.47, 148.3, 148.146, 121.472, 147.062, 152.703, 152.756","2646, 2680, 2350, 2460, 2470, 2454, 2449, 2282, 2337, 2116, 2537, 2583, 2594, 2730, 6430, 3850, 4650, 4305","Inner Regional, Outer Regional, Inner Regional, Inner Regional, Inner Regional, Inner Regional, Inner Regional, Major Cities, Inner Regional, Major Cities, Inner Regional, Inner Regional, Inner Regional, Outer Regional, Outer Regional, Inner Regional, Inner Regional, Major Cities",Non-Gov,"Corowa, Yoogali, Armidale, Grafton, Casino, Bellingen, Bowraville, Warners Bay, Scone, Rydalmere, Moruya, Crookwell, Young, Batlow, Kalgoorlie, Sale, Maryborough, Woodend",Primary,St Mary's Primary School
-33.7684,150.771,2760,Major Cities,Gov,St Marys,Primary,St Marys Public School
